t;x;y;q
1482;-13.6;-34.3;-1.3
1484;-13.5;-35.9;-1.6
1486;-13.5;-34.8;-1.6
1488;-13.9;-34.7;-1.3
1490;-13.6;-33.7;-1.6
1492;-13.4;-34.4;-1.6
1494;-13.4;-34.7;-1.3
1496;-13.7;-35.7;-1.6
1498;-14;-35;-1.6
1500;-13.7;-34.6;-1.5
1502;-13.9;-34.7;-1.5
1504;-13.5;-34.9;-1.4
1506;-13.6;-35.3;-1.4
1508;-13.7;-35;-1.4
1510;-13.4;-33.7;-1.8
1512;-13.6;-34;-1.3
1514;-13.5;-34.7;-1.6
1516;-13.8;-35.6;-1.6
1518;-13.9;-35.6;-1.1
1520;-13.8;-34.7;-1.7
1522;-13.6;-34.1;-1.4
1524;-13.4;-34.9;-1.4
1526;-13.5;-35.2;-1.9
1528;-13.6;-34.9;-1.1
1530;-13.9;-34.5;-1.3
1532;-13.5;-34;-2.1
1534;-13.7;-34.5;-1.3
1536;-13.3;-34.7;-1.2
1538;-13.8;-35.2;-1.7
1540;-13.7;-34.9;-1.1
1542;-13.6;-34.5;-1.4
1544;-13.6;-34.3;-1.4
1546;-13.8;-35.2;-1.2
1548;-13.4;-35;-1.8
1550;-13.4;-35;-1.3
1552;-13.7;-34.2;-1.4
1554;-13.4;-33.9;-1.4
1556;-13.6;-34.6;-1.4
1558;-13.9;-35.7;-1.4
1560;-13.8;-35.3;-1.5
1562;-13.5;-34.6;-1.4
1564;-13.5;-34.2;-1.1
1566;-13.6;-34.5;-1.1
1568;-14;-35.4;-1.7
1570;-13.9;-35.3;-1.5
1572;-13.6;-35.1;-1.5
1574;-13.7;-34.7;-1.4
1576;-13.9;-34.4;-1.6
1578;-13.4;-34.4;-1.5
1580;-13.7;-35.2;-1.4
1582;-13.6;-35.3;-1.4
1584;-13.5;-34.5;-1.4
1586;-13.5;-33.8;-1.8
1588;-14.1;-34.6;-1.3
1590;-13.7;-34.9;-1.3
1592;-13.6;-35;-1.7
1594;-13.5;-34.7;-1.6
1596;-13.8;-34.3;-1.3
1598;-13.9;-34.6;-1.4
1600;-13.6;-34.3;-1.3
1602;-13.5;-34.8;-1.6
1604;-13.7;-35.1;-1.7
1606;-13.7;-34.5;-1.2
1608;-13.7;-34.5;-1.6
1610;-13.9;-34.6;-1.1
1612;-13.7;-35;-1.3
1614;-13.4;-35.1;-2
1616;-13.7;-34.9;-1.1
1618;-13.7;-34.8;-1.6
1620;-13.5;-34.1;-1.2
1622;-13.7;-34.7;-1.4
1624;-13.6;-35;-2.1
1626;-13.8;-35.1;-1
1628;-13.9;-34.8;-1.6
1630;-13.4;-34.2;-2.2
1632;-13.6;-34.4;-1.1
1634;-13.8;-35.5;-1.5
1636;-13.8;-35.4;-1.5
1638;-13.7;-34.7;-1.1
1640;-13.9;-34.6;-2.2
1642;-13.8;-34.5;-0.9
1644;-13.9;-35;-1.3
1646;-13.6;-34.9;-2.3
